doi,search_abstract,class,nchar_abstract
10.1002/(sici)1098-2345(1997)43:2<87::aid-ajp1>3.0.co;2-t,the gorillas studied at bai hokou central african republic between august 1990 and october 1992 consumed 239 kinds of foods from 138 species of plants and invertebrates including the fruits of 77 species seeds were present in 99 of all fecal samples n 859 although gorillas ate fleshy fruit whenever it was available herbaceous plants and fibrous fruits were consumed year round and were important during times of fleshy fruit scarcity at bai hokou and across their range resources are temporally discontinuous and western gorilla diet exhibits marked seasonal and interannual variation although their large body size lends them dietary flexibility relative to chimpanzees seasonal fruit eating shapes the foraging and ranging patterns of western lowland gorillas,gmpd,763
10.1002/(sici)1098-2345(199911)49:3<243::aid-ajp3>3.0.co;2-4,in order to obtain reliable evidence for differences in habitat preferences between two closely related savanna dwelling primate species namely patas monkeys erythrocebus patas and tantalus monkeys cercopithecus aethiops tantalus i collected data on vegetation and patterns of range use concurrently at a single study site kala maloue cameroon in a similar manner for a group of each species kala maloue consisted of 64 grassland mostly dominated by gramineae spp and the rest was woodland tantalus monkeys showed preference for woodland especially gallery forest much more than did the patas irrespective of the season moreover patas preferentially established their home range in grassland in the wet season interspecific and seasonal differences in habitat preferences could be interpreted on the basis of interspecific and seasonal differences in preferences for main food in dry season tantalus utilized water containing areas at a frequency closely in proportion to the availability of such areas while the patas utilized water containing areas more frequently than expected this is because tantalus established a smaller home range along the river where water was never completely depleted throughout the dry season both the patas and the tantalus preferred woodland to grassland as sleeping sites possibly owing to predation avoidance both the daily travel distance per group weight and the home range size per group weight were greater for patas than for tantalus partly because of higher preference for grassland with low habitat quality in the case of patas it is suggested however that high locomotive ability enabled patas to effectively utilize small and widely dispersed items of food such as grasshoppers and to explore areas with high availability of food and water and with preferable sleeping sites,gmpd,1817
10.1002/(sici)1522-2683(19990601)20:7<1486::aid-elps1486>3.0.co;2-9,we exploited the high resolution capacity of polymerase chain reaction pcr coupled single strand conformation polymorphism sscp to screen for sequence variation in the second internal transcribed spacer its 2 of ribosomal dna rdna among 77 individuals representing oesophagostumum bifurcum from human or mona monkey hosts from africa sscp analysis revealed distinct profiles among some of the individuals and sequence analysis of representative samples defined different its 2 sequence types attributable to polymorphism at particular nucleotide positions however there was no unequivocal sequence difference between o bifurcum individuals from humans and that from monkeys this provided some support for the hypothesis that the parasite from the two hosts represents a single species and that the sequence microheterogeneity detected in the its 2 rdna region represents population variation although the findings were insufficient to reject the proposal that the parasite represents different species overall the results showed the usefulness of the sscp sequencing approach for studying the genetic variation in o bifurcum populations and indicated its potential to study macromolecular evolution and elucidate population differentiation at the molecular level,gmpd,1262
10.1002/1522-2683(200106)22:10<1930::aid-elps1930>3.0.co;2-z,this study examined genetic variation among specimens of contracaecum ogmorhini from different otariid hosts and geographical origins using a polymerase chain reaction pcr based mutation detection approach the first its 1 and second its 2 internal transcribed spacers its of ribosomal dna rdna were amplified individually by pcr scanned for sequence variation by single strand conformation polymorphism sscp and samples displaying variable sscp profiles were subjected to cycle sequencing while c ogmorhini individuals from arctocephalus pusillus pusillus coapp from south africa and those from arctocephalus pusillus doriferus coapd from australia had very similar sscp profiles for both its 1 and its 2 individuals of c ogmorhini from zalophus californianus cozc from pacific canada could be unequivocally distinguished based on their profiles in accordance with sscp results both coapp and coapd had identical its consensus sequences whereas cozc differed in sequence from both coapp and coapd populations by 0 2 one base in the its 1 and 0 7 two bases in the its 2 based on the nucleotide difference in the its 2 sequence a pcr linked restriction fragment length polymorphism rflp could be employed to distinguish individuals representing cozc from those of both coapp and coapd the findings suggest that c ogmorhini may represent a complex of at least two species,gmpd,1368
10.1002/ajp.1008,among over 40 mammal species threatened by the filling of a hydroelectric dam reservoir in french guiana three species of primates have been translocated comprising 124 red howler monkeys six white faced sakis and 95 golden handed tamarins health status of the animals was evaluated by direct physical examination and by hematological biochemical virological and parasitological surveys of collected blood the physical condition of the howlers was slightly worse toward the end of the capture period but that of sakis and tamarins remained satisfactory several ectoparasites ticks larvae of dipterous insects fleas and lice were collected and various wounds apparently nondebilitating were recorded in howlers hematological and biochemical profiles determined for the three species revealed a slight anemia in howlers entamoeba strongyloides and trypanoxyurus were common in fecal samples of howlers a survey of blood smears from the three species revealed infection by several types of microfilaria trypanosoma rangeli like and plasmodium brasilianum in all three and trypanosoma cruzi like in howlers these infections had no significant impact on the health status or the hematological profiles serologic investigations revealed occasional reactions against toxoplasma gondii a strong anti plasmodium response in the two cebidae species and a weaker one in tamarins attempts to isolate arbovirus failed but antibody responses to mayaro and yellow fever viruses were strong especially in the howlers a strong correlation between age and serological status led to a better understanding of the epidemic cycles our survey indicates french guianan primates are reservoirs for several anthropozoonoses including malaria chagas disease and arboviruses,gmpd,1747
10.1002/ajp.1042,we monitored the birth patterns of sympatric brown howler monkeys alouatta fusca clamitans and northern muriquis brachyteles arachnoides hypoxanthus during a 4 yr period from october 1996 to august 2000 at the estação biológica de caratinga minas gerais brazil brown howler monkey births n 34 occurred throughout the year and birth frequencies did not differ between rainy and dry season months the aseasonal birth patterns of the howler monkeys differed significantly from the dry season concentration and dry month peak in muriqui births n 23 we found no effects of infant sex or the number of females on interbirth intervals ibis in our 10 howler monkey study troops ibis of brown howler monkeys averaged 21 2 2 5 mo n 8 median 21 0 mo and were significantly shorter following dry season births than rainy season births their ibis and yearling survivorship 74 were similar to those reported for other species of howler monkeys but yearling survivorship was much lower than that of muriquis 94 whose ibis were more than 12 mo longer than those of the howler monkeys our study extends comparative knowledge of birth patterns in alouatta to a poorly known species and provides insights into the different ways in which diet and life history may affect the timing of births in large bodied platyrrhines under the same seasonal ecological conditions,gmpd,1347
10.1002/ajp.1350170204,experimental and clinical parasitology need natural baselines or controls we present normative data intestinal parasite loads in two genera of african primates wild pan troglodytes and papio spp were studied at two sites gombe in tanzania p anubis and mt assirik in senegal p papio presence or absence of parasites especially nematodes was recorded from fecal specimens gombe s primates were more often infected than were mt assirik s at gombe but not at mt assirik chimpanzees seemed to have a higher incidence of infection than baboons comparison of three baboon troops yielded apparent differences in prevalence of infection no differences in infection were found between the wet and dry seasons in mt assirik s chimpanzees,gmpd,726
10.1002/ajp.1350180304,three troops of olive baboons papio anubis comprising 134 animals were captured during a translocation program all three troops phg crip wby lived in high altitude savannah but two crip and wby also frequented human settlements where they had access to the garbage pits and vegetable gardens the translocation offered the opportunity to compare body condition activity patterns and parasitism among the troops of animals a variety of body measurements were taken a physical examination performed activity patterns for the previous 2 years enumerated and blood and feces collected for virological and parasitological analyses body condition as judged qualitatively by appearance and quantitatively by subcutaneous fat thickness and body weight was lowest in phg the naturally foraging troop all animals were negative for all viruses no blood borne parasites were found but the feces of the majority of animals were positive for eggs of strongyles ascarids trichuris spp and strongyloides spp quantification of strongyles indicated the heaviest burdens were in the non provisioned troop phg these results when combined with the behavioral observations that phg spent more time foraging and less time resting or socializing than wby suggest lowered availability and or a poorer quality of phg s diet the data support the hypothesis of a causal relationship between host nutrition and helminth parasite infection but do not permit general conclusions to be drawn on mechanisms of interaction,gmpd,1487
10.1002/ajp.1350370404,leaf swallowing by chimpanzees pan troglodytes has been hypothesized to control parasites but it has not yet been shown to be associated with specific parasitic infections this report takes advantage of a tapeworm infestation among wild chimpanzees to examine whether leaf swallowing was associated with the presence of tapeworms leaf swallowing was monitored over 6 5 years in two chimpanzee communities in kibale national park uganda in one community tape worms bertiella studeri were found only during a seven month period when they occurred in every month during this period leaf swallowing occurred at an unusually high rate and dungs that contained tapeworm fragments tended to contain whole leaves these data suggest that tape worm infections increased the rate at which chimpanzees swallowed whole leaves however this does not mean that tapeworms were necessarily controlled as a result 1995 wiley liss inc,gmpd,914
10.1002/ajp.20041,prolonged habituation times for wild great apes delay the collection of behavioral and environmental data sometimes for years however genotyping of noninvasively collected feces can provide useful socioecological information in the meantime we tested this premise on an unhabituated wild population of western chimpanzees pan troglodytes verus at mont assirik senegal genotyping yielded information on kinship group size party size and composition sex ratio and ranging,gmpd,469
