doi,title,abstract,class
10.1093/jmedent/31.3.500,Ticks (Acari: Ixodidae) Collected from Small and Medium-Sized Kansas Mammals,seven species of hard bodied ticks were collected from 20 species of small and medium sized mammals in kansas amblyomma americanum l dermacentor variabilis say haemaphysalis leporispalustris packard ixodes cookei packard i kingi bishopp i sculptus neumann and i texanus banks dermacentor variabilis was found statewide a americanum only in the eastern one third of the state and the ixodes spp and h leporispalustris were widely scattered the most common tick found was d variabilis both by itself and in association with other ticks mammals that ticks were collected from included canis latrans say cynomys ludovicianus ludovicianus ord didelphis virginianus kerr geomys bursarius shaw lynx rufus schreber marmota monax bunkeri black mephitis mephitis schreber microtus ochrogaster wagner mus musculus l peromyscus leucopus rafinesque p maniculatus wagner procyon lotor hirtus nelson and goldman reithrodontomys megalotis baird sciurus niger rufiventer geoffroy sigmodon hispidus texianus audubon and bachman sylvilagus floridanus j a allen taxidea taxus taxus schreber and vulpes velox velox say,parasite
10.7589/0090-3558-40.1.1,ANTIBODIES TO CANINE AND FELINE VIRUSES IN SPOTTED HYENAS (CROCUTA CROCUTA) IN THE MASAI MARA NATIONAL RESERVE,spotted hyenas crocuta crocuta are abundant predators in the serengeti ecosystem and interact with other species of wild carnivores and domestic animals in ways that could encourage disease transmission hyenas also have a unique hierarchical social system that might affect the flow of pathogens antibodies to canine distemper virus cdv feline immunodeficiency virus fiv feline panleukopenia virus canine parvovirus fplv cpv feline coronavirus feline infectious peritonitis virus fecv ipv feline calicivirus fcv and feline herpesvirus 1 fhv1 have been detected in other serengeti predators indicating that these viruses are present in the ecosystem the purpose of this study was to determine whether spotted hyenas also had been infected with these viruses and to assess risk factors for infection serum samples were collected between 1993 and 2001 from 119 animals in a single clan for which behavioral data on social structure were available and from 121 hyenas ill several other clans all animals resided in the masai mara national reserve antibodies to cdv fiv fplv cpv fecv fipv fcv and fhv1 were present in 47 3 5 81 36 72 and 0 5 of study hyenas respectively antibody prevalence was greater in adults for fiv and fecv fipv and being a female of high social rank was a risk factor for fiv hyenas near human habitation appeared to be at lower risk to have cdv fiv and fecv fipv antibodies whereas being near human habitation increased the risk for fplv cpv antibodies canine distemper virus and fecv fipv antibody prevalence varied considerably over time whereas fiv fplv cpv and fcv had a stable apparently endemic temporal pattern these results indicate that hyenas might play a role in the ecology of these viruses in the serengeti ecosystem the effect of these viruses on hyena health should be further investigated the lower prevalence of cdv antibody positive hyenas near human habitation suggests that reservoirs for cdv other than domestic dogs are present in the serengeti ecosystem,parasite
10.1111/j.1439-0264.1998.tb00178.x,Immunohistochemical Study of Normal and Mange (S. scabiei var. rupicaprae) Infested Chamois (Rupicapra rupicapra L.) Skin,the immunohistochemical study of chamois rupicapra rupicapra l skin showed that a limited number of available monoclonal and polyclonal antibodies expressed reactivity with skin cell components these included cytokeratins vimentin desmin neuron specific enolase and s 100 protein with almost the same distribution pattern as already described in the skin of humans and animals antibodies used for labelling skin associated lymphoid tissues and other cells with the immunologic function in human skin failed to demonstrate these cells in the chamois skin with the exception of lca and okt6 antibodies epidermal langerhans cells were reliably demonstrated only by the enzyme histochemical method for adenosine triphosphatase while the majority of mononuclear cells in dermal infiltrates showed a strong immunoreaction with okt6 antibody the histologic and histochemical analysis showed that the dermal infiltrations in infested skin consisted of macrophages lymphocytes granulocytes mastocytes and fibroblasts the chamois skin affected with sarcoptes mange showed a significant loss of cytokeratins in the epidermis and its derivatives particular keratinocytes showing nonspecific staining with several antibodies were also described and discussed in this paper,parasite
10.2460/ajvr.2005.66.289,Evaluation of cardiac lesions and risk factors associated with myocarditis and dilated cardiomyopathy in southern sea otters (Enhydra lutris nereis),to describe cardiac lesions and identify risk factors associated with myocarditis and dilated cardiomyopathy dcm in beach cast southern sea otters,parasite
10.7589/0090-3558-43.3.425,THE POTENTIAL ROLE OF SWIFT FOXES (VULPES VELOX) AND THEIR FLEAS IN PLAGUE OUTBREAKS IN PRAIRIE DOGS,swift foxes vulpes velox have been proposed as potential carriers of fleas infected with the bacterium yersinia pestis between areas of epizootics in black tailed prairie dogs cynomys ludovicianus we examined antibody prevalence rates of a population of swift foxes in colorado usa and used polymerase chain reaction pcr assays to examine their flea biota for evidence of y pestis fifteen of 61 24 captured foxes were seropositive and antibody prevalence was spatially correlated with epizootic plague activity in prairie dog colonies in the year of and previous to the study foxes commonly harbored the flea pulex simulans though none of the fleas was positive for y pestis,parasite
10.1006/viro.1993.1040,The Complete Nucleotide Sequence of Parvovirus LuIII and Localization of a Unique Sequence Possibly Responsible for Its Encapsidation Pattern,parvovirus luiii encapsidates single stranded dna of either plus or minus polarity with equal frequency whereas the rodent parvoviruses mvmp and h 1 encapsidate minus strand dna only a full length infectious clone of luiii was constructed and the complete nucleotide sequence of the genome was determined comparison of the luiii sequence with those of mvmp and h 1 revealed that these viruses are virtually identical with respect to the genomic organization location of regulatory signals mrna splicing patterns and amino acid sequences of viral proteins however two regions of the luiii sequence differ significantly from those of the rodent parvoviruses at mu 92 luiii has only one copy of a sequence found as a direct repeat in mvmp and h 1 upstream of this sequence at mu 89 there is an a t rich region 47 nucleotides in length unique to the luiii genome this a t rich region could represent a signal responsible for the totally different encapsidation patterns observed for these viruses ,parasite
10.2307/3284724,"Three New Sarcocystis Species, Sarcocystis giraffae, S. klaseriensis, and S. camelopardalis (Protozoa: Sarcocystidae) from the Giraffe (Giraffa camelopardalis) in South Africa",three new sarcocystis species recovered from muscle fibers of the skeletal musculature of a giraffe in south africa are described based on light and electron microscopy sarcocystis giraffae n sp formed slim macrocysts with a parasite induced connective tissue encapsulation of the host muscle fiber in which the plasma membrane of the latter remained unaltered the sarcocyst wall represented a new ultrastructural type that is characterized by fingerlike villar protrusions with a hairlike projection at the tip containing microtubules penetrating the ground substance sarcocystis klaseriensis n sp formed small filiform microcysts with kinked finger shaped villar protrusions of the wall containing scattered microtubules or filaments and represented another new ultrastructural type sarcocystis camelopardalis n sp formed small filiform microcysts with straplike villar protrusions of the wall containing chainlike osmiophilic structures and represented again a new ultrastructural type,parasite
10.1016/0048-9697(92)90033-o,"Disease conditions affecting common seals (Phoca vitulina) around the Scottish mainland, September�November 1988",common seal populations around the scottish coast were less severly devastated by phocine distemper than those on the continent nevertheless over a 4 month period 59 common seals were examined postmortem the macroscopic and histopathological lesions are described forty two per cent of these seals were considered to be suffering from phocine distemper serology on 29 of the 59 seals was undertaken and the results are discussed in relation to the histopathological findings bordetella bronchiseptica proved to be an important secondary invader in phocine distemper virus infected seals verminous pneumonia was shown to be a frequent problem particularly in juveniles,parasite
10.7589/0090-3558-28.2.223,"A SEROLOGIC SURVEY OF THE ISLAND FOX (UROCYON LITTORALIS) ON THE CHANNEL ISLANDS, CALIFORNIA",the island fox is listed as a threatened species in california a serologic survey of 194 island foxes urocyon littoralis was conducted over the entire range of the species on the channel islands california usa antibody prevalence against canine adenovirus and canine parvovirus reached 97 and 59 respectively in some populations sampled antibody prevalence of canine herpesvirus canine coronavirus leptospirosis and toxoplasmosis were low antibodies against canine distemper virus were not detected,parasite
10.1128/aem.63.10.3946-3949.1997,Prevalence of and associated risk factors for shedding Cryptosporidium parvum oocysts and Giardia cysts within feral pig populations in California,populations of feral pigs sus scrofa may serve as an environmental reservoir of cryptosporidium parvum oocysts and giardia sp cysts for source water we conducted a cross sectional study to determine the prevalence of and associated demographic and environmental risk factors for the shedding of c parvum oocysts and giardia sp cysts feral pigs were either live trapped or dispatched from 10 populations located along the coastal mountains of western california and fecal samples were obtained for immunofluorescence detection of c parvum oocysts and giardia sp cysts we found that 12 5 4 and 17 7 6 of 221 feral pigs were shedding c parvum oocysts and giardia sp cysts respectively the pig s sex and body condition and the presence of cattle were not associated with the probability of the shedding of c parvum oocysts however younger pigs or 8 months and pigs from high density populations 2 0 feral pigs km2 were significantly more likely to shed oocysts compared to older pigs 8 months and pigs from low density populations or 1 9 feral pigs km2 in contrast none of these demographic and environmental variables were associated with the probability of the shedding of giardia sp cysts among feral pigs these results suggest that given the propensity for feral pigs to focus their activity in riparian areas feral pigs may serve as a source of protozoal contamination for surface water,parasite
