References
"J Gen Virol 2003, 84(Pt 2):485-96"
"PLoS One 2008, 3(4):e2057"
"Viruses 2017, 9(12):pii: E371"
"Acta Virol 2016, 60(4):386-392"
"Vet Med Sci 2020, 6(3):587-590"
"Nat Commun 2020, 11(1):510"
"Virol J 2016, 13(1):53"
"Am J Trop Med Hyg 2012, 87(3):576-8"
"PLoS Pathog 2012, 8(10):e1002877"
"Vet Rec 2004, 154(19):589-95"
"Emerg Infect Dis 2014, 20(10):1761-4"
"Mol Ecol 2020, 29(5):970-985"
"J Gen Virol 2017, 98(4):726-738"
"Sci Rep 2021, 11:8370"
"Arch Virol 2015, 161(1):135-40"
"Virus Genes 2016, 52(4):573-7"
"J Gen Virol 2015, 96(Pt 1):24-29"
"One Health Outlook 2021, 3:12"
"J Virol 2012, 86(21):11906-18"
"Sci Rep 2020, 10(1):6873"
"J Gen Virol 2011, 92(Pt 11):2646-53"
"Arch Virol 2012, 157(12):2349-55"
"Infect Genet Evol 2016, 48:10-18"
"PLoS One 2015, 10(2):e0117849"
"Sci Rep 2018, 8(1):9584"
"Virol J 2015, 12(1):42"
"mSphere 2020, 5:pii: e00807-19."
"Arch Virol 2015, 160(4):1075-82"
"PLoS Pathog 2010, 6:e1000972"
"Nat Commun 2020, 11:4235"
"J Virol 2004, 78(12):6543-55and 2 related literatures."
"Virus Res 2002, 89(1):1-28"
"Microbes Infect 2002, 4(2):145-51"
"Vet J 2011, 189(1):118-21"
"J Virol 2013, 87(3):1348-58"
"Virology 2013, 441(2):95-106"
"Viruses 2018, 10(12):pii: E675"
"J Virol 1999, 73(10):8196-200"
"J Virol 2007, 81(6):2805-16"
"Infect Genet Evol 2016, 47:41-50"
"J Gen Virol 2012, 93(Pt 12):2590-4"
"Virol J 2015, 12(1):57"
"Virus Res 1998, 54(2):165-87"
"J Wildl Dis 2015, 51(3):774-9"
"Sci Rep 2016, 6:34209"
"Emerg Infect Dis 2010, 16(12):1844-52"
"PLoS One 2019, 14(4):e0214227"
"Virol Sin 2017, 32(2):101-114"
"Virol Sin 2018, 33(1):87-95"
"Nat Commun 2012, 3:796"
"PLoS One 2009, 4(7):e6367"
"PLoS One 2009, 4(7):e6367Nat Commun 2012, 3:796"
"Viruses 2019, 11(1):pii: E37"
"Viruses 2021, 13:pii: 1659."
"Viruses 2021, 13:pii: 1654."
"J Virol 2007, 81(4):1574-85"
"Virology 2010, 402(1):26-40"
"Virol J 2018, 15(1):38"
"Virus Evol 2018, 4(1):vey008"
"J Gen Virol 2019, 100(10):1363-1374"
"Emerg Infect Dis 2015, 21(9):1675-7"
"Emerg Infect Dis 2009, 15(3):482-5"
"Emerg Infect Dis 2009, 15(3):482-5Virus Res 2012, 167(1):67-73"
"BMC Microbiol 2014, 14(1):293"
"Viruses 2020, 12(8):E855"
"Genome Announc 2015, 3(2):pii: e00177-15"
"PLoS Pathog 2012, 8(8):e1002836"
"Viruses 2014, 6(5):2138-54"
"J Gen Virol 2009, 90(Pt 1):44-7"
"Emerg Infect Dis 2020, 26(1):104-113"
"Infect Genet Evol 2020, 78:104130"
"Am J Trop Med Hyg 2015, 93(5):1041-51"
"One Health 2017, 4:27-33"
"Viruses 2019, 11(3):pii: E250"
"PLoS One 2011, 6(12):e29140"
"J Vet Med Sci 2014, 76(4):611-4"
"Emerg Infect Dis 2017, 23(3):482-486"
